session title,start time,end time,duration,day,description,takeaway,location,tracks,format,speakers
Engineering Onsite Power for AI Data Centers: Avoiding Problematic Design Assumptions,2026-09-22 12:45:00,2026-09-22 13:30:00,45-Minute,Tuesday,"As the largest data center operators look to the 1 GW power threshold, they're making infrastructure decisions today that will determine whether they cross it successfully. At that scale, the fundamental questions shift around how to structure plant design and ownership models, how power and cooling systems are orchestrated across a distributed portfolio, and how to manage operational complexity. This session draws on direct hyperscale experience to share what those design shifts look like in practice and share what infrastructure leaders of all size and scale operations can learn from them and consider applying now.", ,"San Antonio 4,5,6",Alternative Power & Energy Innovation,Session,"Robert Henderson(Liberty Energy), Gary Hilberg(Continuum Energy)"
Forging New Power Standards: Innovation for the Future of Cloud Infrastructure,2026-09-22 12:45:00,2026-09-22 13:30:00,Not set,Tuesday,"As AI workloads push rack power demands toward and beyond 120kW, the industry's largest operators are looking beyond traditional AC power distribution toward high-voltage DC architectures that will change how data centers are designed and built. This session will explore the standards and specifications needed to support that transition, led by people who are helping shape those guidelines and also working on HVDC implementations. The discussion will benefit operators, developers, and suppliers who need to understand the direction of power delivery architecture to help them make infrastructure decisions that will shape facilities for the next decade. The discussion will include real-world implications of HVDC, how to evaluate HVDC readiness for existing facilities and supply chains, and what the shift to high-voltage DC power delivery requires from equipment, design, and construction partners.", ,Yellow Rose Ballroom,"AI, Power Density & Thermal Management", ,Harsha Bojja(Google)
Fueling the Data Center Boom: Meeting the Power Demand of Hyperscale Growth,2026-09-22 12:45:00,2026-09-22 13:30:00,45-Minute,Tuesday,"The explosive growth of hyperscale data centers is driving unprecedented demand for energy, leaving utilities, gas providers, and grid operators racing to keep up. During this session, our speakers will dive into the challenges of powering the data center revolution. Explore where the energy to sustain this boom will come from and how the industry is adapting to ensure a reliable and sustainable future.","Surging Energy Demand, Grid and Infrastructure Challenges, Diverse Energy Solutions, Reliability and Resilience, and Building a Sustainable Future","Austin 1,2,3",No tracks found for this session,Tech Talk,"Shane Mullins(Industrial Info Resources), Britt Burt(Industrial Info Resources)"
Hedging Power Cost Risk: Procurement Trends for Hyperscale and Colocation Data Centers,2026-09-22 12:45:00,2026-09-22 13:30:00,45-Minute,Tuesday,"As AI-driven load growth strains grid infrastructure across every major market, wholesale power costs are becoming one of the most consequential financial variables in data center project economics. Getting the hedge structure right depends heavily on a data center's specific use case and utilization profile, and what works for one operator can leave another significantly exposed. Understanding how supply and demand fundamentals drive price volatility and which instruments are actually moving the needle for large loads in today's market is the difference between a power strategy that holds and one that doesn't.", ,"Austin 4,5,6",Power Sourcing & Grid Integration,Session,"Supria Ranade(JP Morgan Chase Bank North America), Mark Wilson(Prometheus Hyperscale)"
State of Data Center Power 2026: How the Ecosystem Is Changing and Where It's Headed,2026-09-22 12:45:00,2026-09-22 13:30:00,45-Minute,Tuesday,"The data center and energy industries are converging as AI workloads drive unprecedented density and capacity demands that challenge traditional power planning models. Bill Kleyman, provides a comprehensive industry overview of where the data center power ecosystem stands today and where it's headed, drawing on the latest AFCOM research and market developments. The session examines which power strategies are working in today's market, where challenges remain, and how approaches differ by geography and scale, covering behind-the-meter generation, battery storage, microgrids, utility partnerships, and regulatory engagement. Operators will gain practical insights for evaluating emerging solutions and developing power roadmaps that balance availability, cost, sustainability, and operational flexibility.", ,Longhorn B,"Ecosystem, Business Strategy & Workforce Development",Session,Bill Kleyman(Apolo.us)
Bridging the Energy Gap: A C-Suite Survey of Critical Problems and Real-World Answers,2026-09-22 13:45:00,2026-09-22 14:30:00,45-Minute,Tuesday,"Data center designers, builders, owners, and operators are facing constant pressure to meet ever-increasing, and often extremely public, gaps in energy. These gaps range from addressing the microsecond bursts associated with AI workloads, to the typical seconds-to-minutes of power quality and short-duration energy transfers, all the way to the years needed to acquire access to new electricity sources, despite stranded or cyclical capacity that's available under the right scenarios. This wide-ranging C-suite panel discussion brings together industry leaders to explore trends, resources, and innovative solutions to these challenges. Topics include cogeneration, waste heat recovery, reducing peak PUE, improving end-to-end efficiency from high voltage to DC, co-generation and self-generation strategies, and planning day-ahead for increased capacity, including opportunities to tap into low-cost or even free electricity. The focus lands firmly on real-world scenarios being deployed today, revealing how leading operators are turning energy constraints into competitive advantages through smarter planning, innovative technologies, and creative use of existing grid resources.", ,Yellow Rose Ballroom,Alternative Power & Energy Innovation,Session,"David Tearse(Karman Industries), Sai Shivareddy(Nyobolt), Astrid Atkinson(Camus Energy), Jack Pouchet(Pouchet Advisory Services, LLC), Yang Liu(Electric Hydrogen), Greg Andrews(S+S Industries)"
Co-Building the Future: Partnerships Between Data Centers and Energy Developers,2026-09-22 13:45:00,2026-09-22 14:30:00,45-Minute,Tuesday,"Power is now the primary bottleneck to digital infrastructure growth. In this panel discussion, data center developers and energy leaders will confront the realities of delivering power and energy at the scale, speed, and sustainability required by these workloads. Panelists will review whether current models, grid connection, PPA, on-site generation, renewable integration, are sufficient, and what new approaches are needed. The conversation will highlight collaboration strategies, risk-sharing mechanisms, and how to accelerate time-to-power in an increasingly constrained energy landscape. Expect a forward-looking discussion on co-development and the evolving role of energy partners in data center expansion. Attendees will gain practical insights into emerging partnership models, strategies for navigating regulatory and grid constraints, and actionable approaches to de-risking power delivery timelines", ,Longhorn B,Power Sourcing & Grid Integration,Session,"Ana Quelhas(EDP), Daniel Droog(Chevron New Energies), Elaine Walsh(Baker Botts)"
Demand Response and Virtual Power Plants: How Data Centers Become Electric Grid Assets,2026-09-22 13:45:00,2026-09-22 14:30:00,45-Minute,Tuesday,"Data centers looking to power new facilities face a perfect storm: interconnection queues stretching years, surging energy costs, and growing community scrutiny over power consumption. The rise of demand response, distributed energy resource, and virtual power plant platforms is helping data centers overcome each of those obstacles. Data center operators are using on-site battery storage, backup generation, and flexible workloads to shift from passive energy consumers into active grid participants.

This session explores how hyperscalers, colocation providers, and enterprise data centers can apply these strategies and platforms to shorten interconnection timelines, reduce operating costs, and generate new cash flows while maintaining uptime. It will also explain how the emerging Bring Your Own Capacity (BYOC) model lets developers bring virtual power plant capacity to utilities to fast-track grid access.

Attendees will learn how grid participation can help data centers gain community and regulator support by reducing peak demand, supporting reliability, and deferring new infrastructure investments. The session will demonstrate how operators can unlock new revenue streams from assets they already own, cut years off interconnection timelines, and strategically flex workloads during grid events and market opportunities. Participants will also gain a practical framework for evaluating demand response opportunities that align with their operational requirements and business objectives.", ,"San Antonio 4,5,6",Power Sourcing & Grid Integration,Session,"Adam Scarsella(Voltus), Nate Soles(CPower)"
Designing for Density: Supporting Enterprise AI Workloads Without Overbuilding Infrastructure,2026-09-22 13:45:00,2026-09-22 14:30:00,45-Minute,Tuesday,"The data center industry has been concentrated in a small number of major markets, but power constraints, cooling limits, and land availability can limit development in traditional hubs while enterprise demand keeps growing. This session examines the opportunity for data center expansion in regional and underserved markets, highlighting what operators and enterprise customers are seeing in successful deployments in Ohio, South Carolina, and other markets. As a data center operator and developer, DartPoints will share how it has brought capacity online in these environments, how it balances speed-to-market with long-term scalability, what has surprised them, and what they would approach differently today.", ,"San Antonio 1,2,3","AI, Power Density & Thermal Management",Session,Scott Willis(DartPoints)
"Nuclear Renaissance: How and When Fission, Fusion, and Hybrid Technologies Can Change the Data Center Power Stack",2026-09-22 13:45:00,2026-09-22 14:30:00,45-Minute,Tuesday,"There's no way that all the proposed projects in this epoch-defining data center buildout can come true using the existing power infrastructure. Enter a new role for nuclear power — traditional fission, small modular reactors (SMRs), fusion, and hybrid models, with their promise to provide abundant, low-emission baseload power. With these models, the future of nuclear power generation technology looks much different than what has defined the nuclear industry to date.

In this session, an expert panel will explore:



	*
Scientific models and timelines for fission, fusion, and hybrid models

	*
Explanations of the different models including traditional fission, SMR, magnetic fusion, fission-fusion hybrid

	*
Regulatory, legal, and investment scenarios to reduce time to scale

	*
Variations in nuclear investment across geographies

	*
Hyperscaler investment in nuclear technologies

	*
Where nuclear technologies fit in the broader data center 'energy stack'", ,"Austin 4,5,6",Alternative Power & Energy Innovation,Session,"Romi Mahajan(ExoFusion), Stuart Allen(FusionX), Amy Roma(Orrick), Matthias Knolker(General Atomics Magnetic Fusion Energy), Patrick Ellis(Type One Energy)"
Beyond Power Density: How AI Is Reshaping Data Center Infrastructure Design,2026-09-22 14:45:00,2026-09-22 15:30:00,45-Minute,Tuesday,"The rapid growth of AI workloads is fundamentally changing how data centers are designed and operated. While early discussions focused primarily on rack power density, the industry is now facing a broader infrastructure transformation. Liquid cooling is becoming the default for high-density AI deployments, and deterministic high-performance networking is emerging as a co-equal constraint alongside power and cooling. At the same time, AI infrastructure is bifurcating between centralized training clusters and distributed inference deployments across metro regions.

This session will explore how AI workloads are reshaping data center power delivery, cooling architecture, and network design, and what operators, engineers, and infrastructure planners should expect over the next three to five years. We will discuss rack density trends, liquid cooling operational boundaries, east-west network traffic growth driven by AI inference and agentic workloads, and how these trends are changing facility design, interconnection strategy, and operational responsibilities.

Key takeaways will include:



• Considerations about workload placement beyond power availability, including ecosystem proximity, interconnection, and data locality
• A practical lens for evaluating how AI workload type (training vs. inference) drives fundamentally different infrastructure design decisions

	* A clear understanding of liquid cooling today and how to think about facility upgrades sequencing

	* Perspective on why network architecture is becoming a first-order infrastructure constraint, and how observability across the network is key to optimized AI workload performance and economics, not just a connectivity layer", ,Yellow Rose Ballroom,"AI, Power Density & Thermal Management",Session,"Kyle Chien(Digital Realty), Vinod Kamath(Lenovo)"
Evaluating Data Center Power Architectures Against Emerging Grid Oscillation Standards for AI Workloads,2026-09-22 14:45:00,2026-09-22 15:30:00,45-Minute,Tuesday,"As AI workloads drive unprecedented demand, utilities and grid operators have published measurable standards defining allowable load oscillation limits at the point of interconnection. This session examines how modern data center power architectures can meet emerging grid requirements, comparing AC, hybrid, DC, and storage-assisted approaches against forced oscillation limits and ramp rate constraints. Drawing on perspectives from GPU manufacturers, power system OEMs, and data center operators, the discussion moves from GPU load profiles at the rack level through how power distribution architectures must respond, and ultimately, which design choices enable compliance without compromising performance as AI deployments scale.", ,"San Antonio 4,5,6","AI, Power Density & Thermal Management",Session,"David Roop(Mitsubishi Electric Power Products, Inc.), John Campion(Mitsubishi Electric Power Products, Inc.), Rajesh Gopinath(Oracle), Sai Somayajula(Nvidia)"
"Who Owns the Power Problem Now? Rethinking Grid Reliance, On‑Site Power, and Risk Allocation",2026-09-22 14:45:00,2026-09-22 15:30:00,45-Minute,Tuesday,"As AI‑driven load growth accelerates, data center power strategy is shifting from a single‑counterparty utility model to a more active, multi‑layered approach that blends grid collaboration, on‑site and behind‑the‑meter solutions, storage, and emerging clean firm power. These changes are forcing operators, hyperscalers, utilities, and capital providers to rethink who owns which risks, and how those risks are priced.
This roundtable will bring together perspectives from across the data center power ecosystem to discuss how power procurement, control, and financing strategies are evolving in response to interconnection delays, power density constraints, regulatory uncertainty, and resilience expectations. Participants will explore what is working in practice today, where models are breaking down, and how both operators and investors are evaluating critical approaches such as co‑located generation, microgrids, and alternative contracting structures.", ,"Austin 4,5,6","Ecosystem, Business Strategy & Workforce Development",Session,"Rachel Rosenfeld(Norton Rose Fulbright US LLP), Erin McPike(FTI Consulting, Strategic Communications), Lavinia Macovschi(ING Bank N.V.)"
"Wind, Solar, and Storage: What the Future Holds for This Renewable Power Trifecta",2026-09-22 14:45:00,2026-09-22 15:30:00,45-Minute,Tuesday,"Wind and solar power generation initiatives for data centers are increasingly treated as hybrid systems that bundle generation with long duration energy storage. More efficient storage makes it practical to produce energy when the sun's shining and wind blowing and let data centers access it when they need it. This panel will explore where wind-solar-storage systems fit in the data center energy stack, especially as pressure rises for data centers to provide more of their own power.", ,Longhorn B,Alternative Power & Energy Innovation,Session,"Mike Sloan(Synergetic LLC), Ian Rock(TerraFlow Energy)"
800V and Beyond: Solid-State Transformers as the Foundation of AI Data Center Infrastructure,2026-09-22 15:45:00,2026-09-22 16:15:00,Not set,Tuesday,"As AI workloads push rack power densities toward 600kW and beyond, the multi-stage conversion architectures that have defined data center power delivery for decades are reaching their physical and economic limits. Solid-state transformers, enabling direct medium-voltage AC to 800V DC conversion in a single step, are emerging as the power delivery architecture purpose-built for next-generation AI infrastructure. Drawing on utility and hyperscale deployments already in production, this session examines what the shift to solid-state means for how developers and operators design, build, and scale data center power infrastructure over the next five to ten years, and what those evaluating their next build or retrofit need to understand about where this technology fits today.", ,"San Antonio 1,2,3","AI, Power Density & Thermal Management", ,Jake Ring(Power and Data Management LLC)
AI-Native Energy Intelligence: From Reactive Management to Continuous Optimization in Data Center Operations,2026-09-22 15:45:00,2026-09-22 16:15:00,45-Minute,Tuesday,"Data center operators face growing pressure to reduce energy costs while maintaining uptime and performance, but many energy management approaches still stop at monitoring and reactive decision-making. Moving from reactive response to continuous predictive optimization requires a new methodology, one where AI-native energy intelligence enables closed-loop control across complex power and cooling infrastructure. Operator case studies will demonstrate how this approach reduces energy consumption, carbon emissions, operating costs, and equipment wear while improving reliability and operational resilience. Attendees will understand why the next step in data center energy management is not simply better monitoring, but intelligent systems that continuously identify, validate, and improve performance as a real control layer for modern operations.", ,Yellow Rose Ballroom,"AI, Power Density & Thermal Management",Session,Niklas Panten(etalytics Inc)
Geothermal Rising: How New Technology Has Changed Its Place in the Power Stack,2026-09-22 15:45:00,2026-09-22 16:15:00,Not set,Tuesday,"Geothermal has long been treated as a niche power source, limited by geography and overshadowed by the scale of wind and solar. A convergence of technologies, advanced drilling techniques, subsurface engineering, reservoir stimulation, and real-time sensing and modeling, is changing its role in the power stack entirely, unlocking heat resources in regions where conventional geothermal was never commercially viable. The result is firm, around-the-clock power that can now be procured in markets that were previously out of reach, and major hyperscalers are already signing long-term PPAs to take advantage of it. This session examines enhanced geothermal as a practical power procurement decision data center operators can make today, covering where the technology is currently deployable, what the procurement process looks like, and why the geographic reach of next-generation geothermal is fundamentally different from anything the industry has had access to before.", ,"Austin 1,2,3",Alternative Power & Energy Innovation, ,"Lucy Darago(XGS Energy), Dawn Owens(Fervo Energy), Alan Howard(Omdia (Informa TechTarget))"
When Backup Becomes Baseload: Operating Onsite Power Reliably,2026-09-22 15:45:00,2026-09-22 16:15:00,Not set,Tuesday,"Data center power teams are under pressure to secure new generation, but installed megawatts are not the same as dependable megawatts. As onsite gas turbines and reciprocating engines shift from backup assets to baseload or frequent-use power sources, operational readiness becomes as critical as procurement. This session will explore how teams can use operating data, failure probability, and cost consequence to understand how much onsite generation capacity they can actually count on—and what it takes to operate that capacity reliably under mission-critical conditions. Drawing on decades of experience across gas turbines and power systems, the discussion will address maintenance strategy, fleet health monitoring, dispatch decisions, and the operational tradeoffs that emerge when backup becomes baseload. Attendees will leave with a practical framework for translating installed capacity into dependable capacity and building a resilient onsite power strategy.", ,"San Antonio 4,5,6",Alternative Power & Energy Innovation, ,Corson Teasley(Turbine Logic)
Where Should AI Agents Fit In Data Center Critical Infrastructure Decisions?,2026-09-22 15:45:00,2026-09-22 16:15:00,45-Minute,Tuesday,"In the age of agentic AI, building autonomous systems is getting fast and cheap. The most critical work involves the judgment about what to deploy, what to integrate, what to ignore, and who takes responsibility for the decisions made. In and around the data center power room, those are fundamental operational choices. AI-powered systems are playing a growing role in data centers, landing in commissioning, building management systems, demand response, energy procurement, and electrical asset management. if an agent dispatches incorrectly or overcommits load on a 200 MW campus, somebody has to answer, to the regulator, the insurer, the board. This session offers the operator's perspective on deploying production agentic AI in power-intensive, regulated, critical-infrastructure environments, covering what accountability architecture actually looks like for agents in the power stack, how operators are partitioning autonomous, assisted, and human-only decisions, and why, as the technology layer commoditizes, the judgment layer is becoming the entire premium.", ,"Austin 4,5,6","Ecosystem, Business Strategy & Workforce Development",Session,Vova Soroka(Apolo Cloud)
Expo Hall Reception,2026-09-22 16:00:00,2026-09-22 18:00:00,Not set,Tuesday,"Join us for the highly anticipated Expo Hall Opening Reception. We will mix, mingle, and reconnect after being apart for months. The event marks the official launch of the expo hall experience. Meet with 110+ solution providers, take in multiple interactive event experiences, attend Solution Spotlights, and much more.", ,Longhorn A,No tracks found for this session, ,No speakers found for this session
NFPA 70B – OSHA 70E – NEC 70: Meeting the Changes,2026-09-22 16:10:00,2026-09-22 16:30:00,20-Minute,Tuesday,"This presentation provides a clear overview of the major updates to NEC 70, NFPA 70B, NFPA/OSHA 70E, NEC 700.3(F) and NFPA 110, showing how these interconnected codes now work together under OSHA oversight. These changes represent some of the most important, yet often overlooked, safety and maintenance code updates in the last 40 years. Focused on the electrical generation sector but relevant across the entire electrical industry, the session explains the immediate impact on equipment, projects and compliance requirements. Attendees will learn how to meet the new standards, avoid liability and ensure proper design, inspection and training under the watch of AHJs, Fire Marshals and OSHA inspectors.","1. Unified and Retroactive Code Enforcement: NEC 70, NFPA 70B, NFPA/OSHA 70E, NEC 700.3(F) and NFPA 110 now work together under OSHA, applying to all existing and future equipment. 2. Critical Safety and Maintenance Updates: These are some of the most important, yet overlooked, code changes in the last 40 years and directly impact electrical safety, maintenance and emergency power readiness. 3. High Liability and Urgent Training Needs: These changes impact manufacturers, engineers, service providers and end users. Noncompliance carries significant risk and requires immediate updates to design, staffing, inspection, documentation and training practices.",Expo Theater,No tracks found for this session,Solutions Spotlight,Kent McLemore(Power Temp Systems)
Lakeside Country Hoedown Conference Party!,2026-09-22 19:00:00,2026-09-22 22:00:00,Not set,Tuesday, , ,Glass Cactus,No tracks found for this session, ,No speakers found for this session
Breakfast,2026-09-23 08:00:00,2026-09-23 08:45:00,Not set,Wednesday, , ,Longhorn B,No tracks found for this session, ,No speakers found for this session
Registration Hours,2026-09-23 08:00:00,2026-09-23 16:00:00,Not set,Wednesday, , ,Longhorn Foyer,No tracks found for this session, ,No speakers found for this session
KEYNOTE: Agile Infrastructure for AI: Holistic Data Center Co-Design from Chip to Utility,2026-09-23 08:45:00,2026-09-23 10:00:00,Not set,Wednesday,"AI infrastructure is growing at an unprecedented pace, with Google now processing more than 3 quadrillion tokens per month, representing a 7x year-over-year increase in compute demand from May 2025 to May 2026. Meeting this velocity requires new innovations in energy efficiency and power delivery. Tom Garvens, Vice President of Data Center Technology and Systems at Google, presents a keynote demonstrating how Google is addressing this scale responsibly through a full-stack approach that ensures data centers act as proactive, stabilizing partners to local grids.

To address the critical speed mismatch between rapid AI rollout and multi-year utility grid expansion, Google is engineering infrastructure for extreme agility. Key to this approach are dynamic energy strategies—such as transforming clean backup assets into primary grid-support, tools during peak demand, intelligent load shaping, and power load smoothing techniques — that prevent disruptive power swings and actively support utility resilience.

Beyond these dynamic energy strategies, Google is co-designing holistic solutions spanning from chip to utility — optimizing for liquid cooling, Low Voltage Direct Current (LVDC) architectures, intelligent algorithms and data center facility design. A core pillar of this work is open ecosystem innovation: publishing standardized power and facility technology specifications through communities like OCP so the entire industry can build interoperable, efficient, and sustainable infrastructure.", ,Longhorn B,Other, ,Tom Garvens(Google)
Expo Hall,2026-09-23 10:00:00,2026-09-23 13:00:00,Not set,Wednesday, , ,Longhorn A,No tracks found for this session, ,No speakers found for this session
Lunch,2026-09-23 12:00:00,2026-09-23 13:00:00,Not set,Wednesday, , ,Longhorn B,No tracks found for this session, ,No speakers found for this session
Atoms to Algorithms: A Practical Pathway for Nuclear Integration with Data Centers,2026-09-23 13:00:00,2026-09-23 13:45:00,45-Minute,Wednesday,"This session on nuclear integration with data centers will cover demand outlooks, new nuclear construction, and key considerations for colocating nuclear generation with data center infrastructure. Led by two nuclear industry experts, it will address practical challenges such as AI-driven load variability and power quality impacts on nuclear power plants, along with topics including behind-the-meter electrical integration, nuclear-integrated cooling concepts, and the role of thermal energy storage in combined nuclear–data center systems. It will wrap up with a forward-looking, open dialogue on the enablers and obstacles to the future of nuclear–data center integration.", ,"San Antonio 1,2,3",Alternative Power & Energy Innovation,Session,"Daniel Klein(EPRI), Paul Talbot(Idaho National Laboratory)"
Community Pushback: How Data Centers and Utilities Can Address Power Concerns and Earn Support,2026-09-23 13:00:00,2026-09-23 13:45:00,45-Minute,Wednesday,"Building community support for data center projects requires early engagement, deliberate relationship-building, and a willingness to address the power-specific concerns that communities have around electricity rates, power reliability, and the environment. Operators and developers need to address such concerns early and consistently to get projects approved. Calvert Street Group, which brings two decades of public affairs and coalition-building experience to the data center approval process, will bring together stakeholders in this process to explore how productive community dialogue can build durable local support before concerns harden into organized opposition.", ,Yellow Rose Ballroom,"Ecosystem, Business Strategy & Workforce Development",Session,"Rajiv Vohra(Thor Equities), Diane Sullivan(Hecate Energy LLC), Matt Bailey(Calvert Street Group)"
Control Systems for Data Center Microgrids: Turning Compliance into Reliability and Revenue,2026-09-23 13:00:00,2026-09-23 13:45:00,45-Minute,Wednesday,"As data centers invest in more on-site generation and storage to supplement to meet power needs, their relationship with the electrical grid is fundamentally changing, including the regulatory expectations. NERC is moving to require data centers to register as Computational Load Entities due to the size of their power requirements, with mandatory reliability standards covering curtailment, islanding, and voltage ride-though expected to follow. Non-compliance could mean forced curtailments, interconnection delays, or operational restrictions that hit uptime and revenue. This session will explore how the IEEE 2030.7 microgrid control standard provides a practical framework for managing behind-the-meter systems while meeting obligations such as these, including modeling and optimization tools that show how operators can turn compliance requirements into improved reliability and even revenue opportunities.", ,"Austin 4,5,6",Alternative Power & Energy Innovation,Session,"Jim Reilly(Reilly Associates), Michael Stadler(Xendee Corporation)"
